File	Zingzeu ID	YngPing	Speaker ID	Provider ID	Source	Tag
fzho. 楊柳. 廣場. 2018 [2020-04-15].mp3	FD7	guong21 duong53	12	24		
fzho. 楊柳. 站. 2018 [2018-04-01].mp3	2B1F	zang242	12	24		
fzho. 楊柳. 于山. 2018 [2020-04-15].mp3	3050	y55 lang55	12	24		城鄉處所
mnhu. 子善. 在伊. 2020-04-11.mp3	4D75	zai55 i55	13	24		
mnhu. 子善. 在汝. 2020-04-11.mp3	4D76	zai53 ny33	13	24		
mnhu. 蘇正堯. 轉潤. 2020-04-16.mp3	2F7A	duong55 noung213	14	24		
mnhu. hf万物@QQ. 𤸫𩩍. 2020-06-19.mp3	3E02	ung21 piang55	15	24		
mnhu. hf万物@QQ. 彎𩩍. 2020-06-19.mp3	3E04	uang55 piang55	15	24		
mnhu. hf万物@QQ. 褪澈澈. 2020-06-19.mp3	2734	toung21 nah53 lah24	15	24		
mnhu. hf万物@QQ. 褪𩩍𩩍. 2020-06-19.mp3	3C9B	toung21 miang55 miang55	15	24		
mnhu. 蘇正堯. 褪𩩍𩩍. 2020-06-19.mp3	3C9B	toung21 miang55 miang55	14	24		
fuqi. 五毛@QQ. 褪澈澈. 2020-06-19.mp3	2734		16	24		
fzho. 梁靜. 荷葉包. 2020-06-25.mp3	3FC6	ho21 iek55 bau55	17	24	端午味道 食全食美食在端午[EB/OL]//央视新闻: 网络直播室. 2020-06-25[2020-06-25]. https://www.bilibili.com/video/BV1Vh411o7Aa.	
mnhu. hf万物@QQ. 掌甲. 2020-06-24.mp3	3C40	zieng55 ngak24	15	24		
mnhu. hf万物@QQ. 𧔢甲. 2020-06-24.mp3	34FB	zieng21 ngak24	15	24		
fzho. 烟雨三山@QQ. 底所. 2020-06-23.mp3	4EEA	die24 neo33	18	24		
mnhu. hf万物@QQ. 地木. 2020-06-23.mp3	35F0	di55 muk5	15	24		
mnhu. hf万物@QQ. 風颱. 2020-06-21.mp3	2F0E	hung55 nai55	15	24		
mnhu. hf万物@QQ. 蕹菜. 2020-06-21.mp3	3321	ung53 njai213	15	24		
mnhu. 蘇正堯. 怨命. 2020-06-22.mp3	4D4C	uong53 miang242	14	24		
mnhu. 子善. 张. 2020-06-21.mp3	2862	tuong55	13	24		
mnhu. hf万物@QQ. 佮底. 2020-06-22.mp3	46FA	gak24 de33	15	24		
mnhu. 方剑伟. 斗. 2020-08-15.ogg	7AA	dau33	1	24		
pign. 万一呢@WeChat. 碎食. 2020-08-22.wav	3F54		19	24		
mnhu. 方剑伟. 车. 2020-08-24.wav	57D	cia55	1	24		
mnhu. 方剑伟. 车 (1). 2020-08-24.wav	57D	cia55	1	24		
mnhu. 方紹晃. 柴. 2020-08-26.wav	47F	cia53	2	24		
mnhu. 方紹晃. 柴 (1). 2020-08-26.wav	47F	cia53	2	24		
mnhu. 方紹晃. 青蛤 单字音. 2020-08-26.wav	3579	ciang55 gak24	2	24		
mnhu. 方紹晃. 青蛤. 2020-08-26.wav	3579	ciang53 ngak24	2	24		
mnhu. 方紹晃. 青蛤 (1). 2020-08-26.wav	3579	ciang53 ngak24	2	24		
mnhu. 方紹晃. 青蛤 (2). 2020-08-26.wav	3579	ciang53 gak24	2	24		
mnhu. 方紹晃. 清醒. 2020-08-26.wav	44AE	cing53 njiang33	2	24		
mnhu. 方紹晃. 巡. 2020-08-26.wav	25E1	sung53	2	24		
mnhu. 方紹晃. 翼. 2020-08-26.wav	240D	sik5	2	24		
mnhu. 方紹晃. 翼 (1). 2020-08-26.wav	240D	sik5	2	24		
mnhu. 方紹晃. 薄 boh5. 2020-08-27.wav	318	boh5	2	24		
mnhu. 方紹晃. 㓟 pie55. 2020-08-27.wav	21CE	pie55	2	24		
mnhu. 方紹晃. 㓟 pie55 (1). 2020-08-27.wav	21CE	pie55	2	24		
mnhu. 方紹晃. 錾 ziang242. 2020-08-27.wav	2B21	ziang242	2	24		
mnhu. 方紹晃. 錾 ziang242 (1). 2020-08-27.wav	2B21	ziang242	2	24		
fzho. Unknown. 差不多. 2019-01-13.ogg	47C	ca21 m21 do55	20	24		
mnhu. 方紹晃. 扒. 2020-08-26.wav	CC	ba53	2	24		
mnhu. 方紹晃. 扒龙船. 2020-08-26.wav	30C2	ba33 lung33 nung53	2	24		
mnhu. 方紹晃. 五日节. 2020-08-26.wav	30BC	ngu21 nik53 zaik24	2	24		
mnhu. 方剑伟. 龙船. 2020-08-24.wav	4AE4	lung33 sung53	1	24		
mnhu. 方剑伟. 抄. 2020-08-03.ogg	4DA	cau55	1	24		
mnhu. 方剑伟. 抄 (1). 2020-08-03.ogg	4DA	cau55	1	24		
mnhu. 方剑伟. 反. 2020-08-03.ogg	5583	baing213	1	24		
mnhu. 方剑伟. 反 (1). 2020-08-03.ogg	5583	baing213	1	24		
mnhu. 方剑伟. 鑿囝. 2020-08-03.ogg	37C3	ceoyk53 giang33	1	24		
mnhu. 方剑伟. 推刀. 2020-08-03.ogg	37B4	teoy55 lo55	1	24		
mnhu. 方紹晃. 杉柴. 2020-08-26.wav	334A	sang55 njia53	2	24		
mnhu. 方紹晃. 杉柴 (1). 2020-08-26.wav	334A	sang55 njia53	2	24		
mnhu. 方紹晃. 杉柴 (3). 2020-08-26.wav	334A	sang55 njia53	2	24		
mnhu. 方紹晃. 杉柴 sang-cia. 2020-08-26.wav	334A	sang55 cia53	2	24		
mnhu. 方紹晃. 樟柴. 2020-08-26.wav	3349	zuong55 njia53	2	24		
mnhu. 方紹晃. 樟柴 (1). 2020-08-26.wav	3349	zuong55 njia53	2	24		
mnhu. 方紹晃. 樟柴 (2). 2020-08-26.wav	3349	zuong55 njia53	2	24		
mnhu. 方紹晃. 樟柴 (3). 2020-08-26.wav	3349	zuong55 njia53	2	24		
mnhu. 方剑伟. 竹丝. 2020-08-25.wav	3383	dyk21 si55	1	24		
liji. 葉修齊. 馆店. 2020-10-14.mp3	47B5	guang55 neing213	21	24		
fzho. madiu8. 郎罷. 2020-10-20.mp3	3A6B	loung21 ma242	22	22		
fzho. 鄭華榕. 前斗. 2017-12-29.mp3	4E6D	seing33 lau33	23	24		
fzho. 鄭華榕. 後斗. 2017-12-29.mp3	4E74	a242 lau33	23	24		
fzho. 关彳山. 冯bing53. 2020-11-15.mp3	262	bing53	24	24		
fzho. 关彳山. 程ting53. 2020-11-15.mp3	2798	ting53	24	24		
fzho. 关彳山. 㖹. 2020-11-15.mp3	387	bung53	24	24		
fzho. 关彳山. 价. 2020-11-15.mp3	B9F	ga213	24	24		
fzho. 关彳山. 嗜. 2020-11-15.mp3	2495	sie242	24	24		
fzho. 关彳山. 圆. 2020-11-15.mp3	15C7	ieng53	24	24		
fzho. 关彳山. 事. 2020-11-15.mp3	78D	dai242	24	24		
fzho. 关彳山. 认. 2020-11-15.mp3	19C7	neing242	24	24		
fzho. 关彳山. 贩. 2020-11-15.mp3	13CC	huang213	24	24		
fzho. 关彳山. 料. 2020-11-15.mp3	1B23	liu242	24	24		
fzho. 关彳山. 吼. 2020-11-15.mp3	10FE	hau33	24	24		
fzho. 关彳山. 恐. 2020-11-15.mp3	189E	kyng33	24	24		
fzho. 关彳山. 琴. 2020-11-15.mp3	173B	king53	24	24		
fzho. 关彳山. 舊. 2020-11-15.mp3	E8D	gou242	24	24		
fzho. 关彳山. 校. 2020-11-15.mp3	1104	hau242	24	24		
fzho. 关彳山. 龙. 2020-11-15.mp3	1CD8	lyng53	24	24		
fzho. 关彳山. 永. 2020-11-15.mp3	1569	ing33	24	24		
fzho. 关彳山. 来. 2020-11-15.mp3	1A27	li53	24	24		
fzho. 关彳山. 易. 2020-11-15.mp3	B03	ei242	24	24		
fzho. 关彳山. 革. 2020-11-15.mp3	C2E	gaik24	24	24		
fzho. 关彳山. 音. 2020-11-15.mp3	1521	ing55	24	24		
fzho. 关彳山. 碟. 2020-11-15.mp3	902	diek5	24	24		
fzho. 关彳山. 委. 2020-11-15.mp3	2946	ui33	24	24		
fzho. 关彳山. 鼻阳去. 2020-11-15.mp3	1B4	bei242	24	24		
fzho. 关彳山. 搦. 2020-11-15.mp3	1AD3	nieh5	24	24		
fzho. 关彳山. 從. 2020-11-15.mp3	2ED1	zyng53	24	24		
fzho. 关彳山. 月. 2020-11-15.mp3	1E31	nguok5	24	24		
fzho. 关彳山. 炎. 2020-11-15.mp3	15C6	ieng53	24	24		
fzho. 关彳山. 專. 2020-11-15.mp3	2E63	zuong55	24	24		
fzho. 关彳山. 塗. 2020-11-15.mp3	282C	tu53	24	24		
fzho. 关彳山. 骨. 2020-11-15.mp3	C64	goouk24	24	24		
fzho. 关彳山. 不. 2020-11-15.mp3	328	bouk24	24	24		
fzho. 关彳山. 鷺. 2020-11-15.mp3	1B9C	lou242	24	24		
fzho. 关彳山. 惠. 2020-11-15.mp3	11D1	hie242	24	24		
fzho. 关彳山. 涿. 2020-11-15.mp3	9C4	douk24	24	24		
fzho. 关彳山. 炸. 2020-11-15.mp3	2ACB	za53	24	24		
fzho. 关彳山. 骲. 2020-11-15.mp3	170	bau242	24	24		
fzho. 关彳山. 腹. 2020-11-15.mp3	330	bouk24	24	24		
fzho. 关彳山. 单. 2020-11-15.mp3	71B	dang55	24	24		
fzho. 关彳山. 阮nguang33. 2020-11-15.mp3	1E11	nguang33	24	24		
fzho. 关彳山. 㑥. 2020-11-15.mp3	DDB	gie242	24	24		
fzho. 关彳山. 閩. 2020-11-15.mp3	1F6E	ming53	24	24		
fzho. 关彳山. 鷗. 2020-11-15.mp3	B47	eu55	24	24		
fzho. 关彳山. 解gai. 2020-11-15.mp3	C13	gai33	24	24		
fzho. 关彳山. 华. 2020-11-15.mp3	136C	hua53	24	24		
fzho. 关彳山. 房bung. 2020-11-15.mp3	383	bung53	24	24		
fzho. 关彳山. 鐃. 2020-11-15.mp3	194B	nau53	24	24		
fzho. 关彳山. 唱. 2020-11-15.mp3	6AD	cuong213	24	24		
fzho. 关彳山. 院. 2020-11-15.mp3	15E3	ieng242	24	24		
fzho. 关彳山. 郎. 2020-11-15.mp3	1BB6	loung53	24	24		
fzho. 关彳山. 商suong55. 2020-11-15.mp3	2641	suong55	24	24		
fzho. 关彳山. 繼. 2020-11-15.mp3	DD4	gie213	24	24		
fzho. 关彳山. 洗. 2020-11-15.mp3	230E	se33	24	24		
fzho. 关彳山. 任. 2020-11-15.mp3	B2F	eing242	24	24		
fzho. 关彳山. 生. 2020-11-15.mp3	2359	seing55	24	24		
fzho. 关彳山. 楞. 2020-11-15.mp3	19BE	leing213	24	24		
fzho. 关彳山. 朱. 2020-11-15.mp3	2E44	zuo55	24	24		
fzho. 关彳山. 高. 2020-11-15.mp3	E5A	go55	24	24		
fzho. 关彳山. 林. 2020-11-15.mp3	1A70	ling53	24	24		
fzho. 关彳山. 何. 2020-11-15.mp3	122A	ho53	24	24		
fzho. 关彳山. 马. 2020-11-15.mp3	1E7B	ma33	24	24		
fzho. 关彳山. 罗. 2020-11-15.mp3	1B53	lo53	24	24		
fzho. 关彳山. 宋. 2020-11-15.mp3	25B3	soung213	24	24		
fzho. 关彳山. 郑. 2020-11-15.mp3	754	dang242	24	24		
fzho. 关彳山. 谢. 2020-11-15.mp3	246C	sia242	24	24		
fzho. 关彳山. 韩. 2020-11-15.mp3	109C	hang53	24	24		
fzho. 关彳山. 唐. 2020-11-15.mp3	9EB	doung53	24	24		
fzho. 关彳山. 董. 2020-11-15.mp3	A7C	dung33	24	24		
fzho. 关彳山. 萧. 2020-11-15.mp3	24F4	siu55	24	24		
fzho. 关彳山. 邓. 2020-11-15.mp3	795	daing242	24	24		
fzho. 关彳山. 许. 2020-11-15.mp3	147F	hy33	24	24		
fzho. 关彳山. 沈. 2020-11-15.mp3	2456	sing33	24	24		
fzho. 关彳山. 曾. 2020-11-15.mp3	2BD1	zeing55	24	24		
fzho. 关彳山. 苏. 2020-11-15.mp3	25C2	su55	24	24		
fzho. 关彳山. 卢. 2020-11-15.mp3	1BEE	lu53	24	24		
fzho. 关彳山. 蒋. 2020-11-15.mp3	2E81	zuong33	24	24		
fzho. 关彳山. 蔡. 2020-11-15.mp3	4C6	cai213	24	24		
fzho. 关彳山. 丁. 2020-11-15.mp3	8B7	ding55	24	24		
fzho. 关彳山. 魏. 2020-11-15.mp3	1E27	ngui242	24	24		
fzho. 关彳山. 叶. 2020-11-15.mp3	15AE	iek5	24	24		
fzho. 关彳山. 余. 2020-11-15.mp3		y53	24	24		
fzho. 关彳山. 潘. 2020-11-15.mp3	2122	pang55	24	24		
fzho. 关彳山. 杜. 2020-11-15.mp3	9BF	dou242	24	24		
fzho. 关彳山. 夏. 2020-11-15.mp3	106D	ha242	24	24		
fzho. 关彳山. 钟. 2020-11-15.mp3	550F	zyng55	24	24		
fzho. 关彳山. 汪. 2020-11-15.mp3	295F	uong55	24	24		
fzho. 关彳山. 田. 2020-11-15.mp3	925	dieng53	24	24		
fzho. 关彳山. 姜. 2020-11-15.mp3	1037	gyeong55	24	24		
fzho. 关彳山. 方. 2020-11-15.mp3	1432	huong55	24	24		
fzho. 关彳山. 石. 2020-11-15.mp3	240A	sik5	24	24		
fzho. 关彳山. 姚. 2020-11-15.mp3	15FE	iu53	24	24		
fzho. 关彳山. 谭. 2020-11-15.mp3	26E0	tang53	24	24		
fzho. 关彳山. 邹. 2020-11-15.mp3	2C0A	zeu55	24	24		
fzho. 关彳山. 熊. 2020-11-15.mp3	1499	hyng53	24	24		
fzho. 刑部Dana. 外大媽. 2020-12-23.mp3	3A61	ngie21 luai53 ma33	25	24		
liji. 葉修齊. 毛蟹. 2020-10-26.mp3	356C	mo21 e242	21	24		
liji. 葉修齊. 毛蟹 (2). 2020-10-26.mp3	356C	mo21 e242	21	24		
mnhu. hf万物@QQ. 地棚. 2020-06-23.mp3	35F2	di55 wang53	15	24		
mnhu. hf万物@QQ. 地棚桁. 2020-06-23.mp3	35F1	di53 wang21 ngooung213	15	24		
mnhu. hf万物@QQ. 樓棚. 2020-06-23.mp3	35F5	lau33 wang53	15	24		
mnhu. hf万物@QQ. 樓棚桁. 2020-06-23.mp3	35F4	lau21 wang21 ngooung213	15	24		
liji. 林金香. 仱. 2020-11-23.mp3	717	dang33	26	24		
liji. 林金香. 拍牌. 2020-11-23.mp3	4AAB	pah55 be53	26	24		
liji. 葉修齊. 位. 2021-01-06.mp3	2957	ui242	21	24		
mnhu. hf万物@QQ. 直. 2021-01-13.mp3	8A4	dik5	15	24		
fzho. 关彳山. 龚. 2020-11-15.mp3	1017	gyng33	24	24		
fzho. 关彳山. 盖. 2020-11-15.mp3	C14	gai213	24	24		
fzho. 关彳山. 陈. 2020-11-15.mp3	8C8	ding53	24	24		
fzho. Unknown. 碟碟. 2021-01-26.wav	374D	diek5 diek5	27	24		
fzho. Unknown. 碟碟(1). 2021-01-26.wav	374D	diek5 diek5	30	24		
fzho. Unknown. 碟碟(2). 2021-01-26.wav	374D	diek5 diek5	28	24		
fzho. Unknown. 鮑魚. 2021-01-26.wav	3552	bau55 ngy53	28	24		
fzho. Unknown. 鮑魚(1). 2021-01-26.wav	3552	bau55 ngy53	29	24		
fzho. 陈丹东. 双. 2021-01-11.wav	23D9	seoyng55	39	24		
fzho. 子善. ng242. 2021-02-12.wav	1563	ng242	13	24		
fzho. 子善. le0. 2021-02-12.wav	1989	le0	13	24		
fzho. 陈丹东. 黄梅丁. 2021-01-11.wav	3527	uong55 mui55 ling55	39	24		
fzho. 陈丹东. 黄梅星. 2021-01-11.wav	3527	uong55 mui55 ling55	39	24		
fzho. 陈丹东. 鰨鯊. 2021-01-11.wav	3515	ciak21 sai55	39	24		
fzho. 陈丹东. 魚囝. 2021-01-11.wav	3550	ngy33 iang33	39	24		
fzho. 陈丹东. 魚囝(2). 2021-01-11.wav	3550	ngy33 iang33	39	24		
fzho. 陈丹东. 魚囝(3). 2021-01-11.wav	3550	ngy33 iang33	39	24		
fzho. 陈丹东. 醬. 2021-01-11.wav	2E8A	zuong213	39	24		
fzho. 陈丹东. 流蜞. 2021-01-11.wav	358A	lau33 ki53	39	24		
fzho. 陈丹东. 流蜞(2). 2021-01-11.wav	358A	lau33 ki53	39	24		
fzho. 陈丹东. 蟛蜞. 2021-01-11.wav	356B	pang33 i53	39	24		
fzho. 关彳山. 卖黄瓜白鳓鱼. 2021-03-16.mp3	4A7F	me55 uong55 ngua55 bah21 lik55 ngy53	24	24		
fzho. 关彳山. 弹珠. 2021-03-16.mp3	4A88	dang55 njuo55	24	24		
fzho. 关彳山. 佮国. 2021-03-16.mp3	58DB	gak55 guok24	24	24		
fzho. 关彳山. 跳框. 2021-03-16.mp3	4A90	tiu55 kuong55	24	24		
fzho. 关彳山. 行棋. 2021-03-16.mp3	4AC8	giang33 ngi53	24	24		
fzho. 关彳山. 做办办. 2021-03-16.mp3	4A7C	zo53 being21 baing242	24	24		
fzho. 关彳山. 卖黄瓜白鳓鱼(2).mp3	4A7F	me55 uong55 ngua55 bah21 lik55 ngy53	24	24		
fzho. 陈丹东. gie53 iang33. 2021-01-11.wav	345B	gie53 iang33	39	24		
fzho. 关彳山. 弹珠(2). 2021-03-16.mp3	4A88	dang55 njuo55	24	24		