Han Character,Han Char. Another Version,Mandarin Trans.
"這兩天量子力學其分數現了,",,"這兩天量子力學課程出成績了,"
乞自家估計其蜀樣.,,符合自己當初的預期.
"依嬷野高興, 講: 嚽是汝自家着厝努力讀書其成果, 野好!",,"奶奶很高興, 說: 這是你自己居家努力學習的成果, 很好!"
伊故問: 世乇號𡅏量子力學? 研究世乇其?,,她又問: 什麽是量子力學? 研究什麽的呢?
"我回答: 是研究野嫩野嫩乇其運動, 這樣款乇使儂家目睭都儥看見, 但是敆手機, 電腦裡勢野価, 都伓數了.",,"我回答: 它研究的是很小很小東西, 微觀粒子的運動, 這些東西我們用眼睛根本看不見, 但是在手機, 電腦裏多得數不清了."
"不過, 量子其解釋儥容易講清楚, 就無乞嬷嬷細講了.",,"不過, 量子的確切概念不容易講明白, 就沒有向奶奶說了."
"㑚共厝𡅏儂介紹量子力學學其波函數, Schrodinger方程, 驚伊各儂會聽凝許塊去!",,"要是對家人介紹量子力學所學的波函數, 薛定諤方程, 怕是讓他們都得呆住了吧!"
"故有物理化學這萆堂,",,"還有物理化學這門課,"
"儂講: 哀{啊,吓}! 者堂野霸! 物理, 化學摳蜀堆上, 頭回聽講啊.","儂講: 哀{啊,吓}! 者堂野霸! 物理, 化學摳蜀堆上, 暴乍聽講啊.",有人說: 第一次聽說物理化學能合在一門課上學習啊!
"嗄, 讓親朋都開眼了.",,"哈, 讓親朋好友都開眼了."
其實者堂教儂家使物理方法研究化學啊.,,其實物理化學是用物理的方法研究化學啊.