Han Character,Mandarin Trans.
"底{呢,所} 有 總款 池",有沒有一扇窗
伊 讓 汝 不再 啼,能讓你不絕望
"汝 看 {這,者} 水面 裡勢",看一看花花世界
"伊 {真,盡} 像 {這,者} 人世",原來像夢一場
有 魚 泅,有人哭
有 魚 躃,有人笑
有 魚 逐,有人輸
有 魚 羈,有人老
"{這,者} 過程 都 {真,盡} 像 是 做 戲",到結局還不是一樣
"底{呢,所} 有 總款 批",有沒有一種愛
伊 讓 汝 看 會 裡,能讓你不受傷
"{真,盡} {侈,価} 其 人生 案例",這些年堆積多少
都 寫 著 批 裡勢,對你的知心話
逢乇 事 都 有 計,什麼酒醒不了
"逢乇 苦 {𣍐,儥} 浪費",什麼痛忘不掉
勇敢 騎,向前走
"汝 就 會{八,仈} 去 控制",就不可能回頭望
"兄弟 {甭,伓通}[neoyng55] 啼",朋友別哭
我 願意 做 汝 心靈 其 床椅,我依然是你心靈的歸宿
"兄弟 {甭,伓通}[neoyng55] 啼",朋友別哭
著 相信 自家 手藝,要相信自己的路
人生 中,紅塵中
"也 有 {這,者} 春 夏 秋 冬 {只,這} 四季",有太多茫然癡心的追逐
汝 是 鎖,你的苦
我 就是 鎖匙,我也有感觸
"兄弟 {甭,伓通}[neoyng55] 啼",朋友別哭
我 一直 著 汝 心靈 旁邊 徛,我一直在你心靈最深處
"兄弟 {甭,伓通}[neoyng55] 啼",朋友別哭
儂家 將 往日 供祭,我陪你就不孤獨
人海 中,人海中
難得 有 幾隻 肝膽 其 兄弟,難得有幾個真正的朋友
"{這,者} 感情",這份情
請 汝 一定 囥 心 裏,請你不要不在乎